Jugador,Equipo,Competición,Posición,Edad,Partidos,Minutos,Goles,Asistencias,xG,xAG,npxG,ValorMercado,PasesCompletados,IntentosPase,PctPasesCompletados,DistanciaTotalPases,DistanciaProgresiva,PasesClave,Entradas,Intercepciones,Bloqueos,TarjetasAmarillas,TarjetasRojas,Goles_Asistencias,xG_xAG,Equiv_90min,EntradasGanadas,AsistDesdeCruzados,Tiros,TirosAlArco
Aljoscha Kemlein,Union Berlin,Bundesliga,MF,20,15,922,1,0,0.9,0.6,0.9,7000000.0,351,465,75.5,5960,1692,10,10,6,14,3,0,1,0.15,10.2,4,1,11,3
Marten de Roon,Atalanta,Serie A,"MF,DF",34,29,2428,4,3,0.8,1.8,0.8,7000000.0,1580,1824,86.6,29188,8985,20,60,34,32,5,0,7,0.09,27.0,37,3,11,4
Matteo Prati,Cagliari,Serie A,MF,21,9,406,0,0,0.1,0.7,0.1,7000000.0,139,188,73.9,2808,749,6,8,5,2,1,0,0,0.17,4.5,4,1,2,0
Oumar Diakité,Reims,Ligue 1,FW,21,24,1599,4,1,5.5,1.1,4.7,7000000.0,286,349,81.9,4078,689,11,20,3,12,6,0,5,0.37,17.8,13,2,26,9
Charlie Cresswell,Toulouse,Ligue 1,DF,22,25,2053,2,1,2.7,1.6,2.7,7000000.0,1040,1263,82.3,19212,6671,4,29,23,38,2,0,3,0.19,22.8,19,0,27,11
Joris Chotard,Montpellier,Ligue 1,MF,23,18,1446,1,0,1.1,0.3,1.1,7000000.0,494,616,80.2,9168,2887,5,32,14,26,5,0,1,0.09,16.1,21,3,15,2
Max Moerstedt,Hoffenheim,Bundesliga,FW,0,12,451,0,0,0.8,0.6,0.8,7000000.0,69,103,67.0,784,204,7,5,0,4,2,0,0,0.27,5.0,5,0,12,4
Justin Njinmah,Werder Bremen,Bundesliga,"FW,MF",24,21,837,3,1,2.6,0.9,2.6,7000000.0,132,210,62.9,1885,438,7,3,3,5,1,0,4,0.38,9.3,2,2,24,6
Luca Netz,Gladbach,Bundesliga,DF,21,19,838,0,2,0.2,1.9,0.2,7000000.0,394,479,82.3,5684,1642,16,22,10,15,1,0,2,0.23,9.3,12,7,3,0
Casper Tengstedt,Hellas Verona,Serie A,"FW,MF",24,22,1383,6,1,5.3,0.9,4.5,7000000.0,186,270,68.9,2684,474,11,7,3,5,2,0,7,0.4,15.4,5,1,37,10
Joël Veltman,Brighton,Premier League,DF,33,19,1643,0,0,0.5,0.5,0.5,7000000.0,716,895,80.0,12082,3157,6,42,18,22,4,0,0,0.05,18.3,28,5,6,1
Jeremy Sarmiento,Brighton,Premier League,MF,22,1,9,0,0,0.0,0.0,0.0,7000000.0,6,6,100.0,74,1,0,0,0,0,0,0,0,0.0,0.1,0,0,0,0
Vladimír Coufal,West Ham,Premier League,DF,32,15,736,0,0,0.2,0.6,0.2,7000000.0,297,390,76.2,4984,1993,6,14,6,11,2,0,0,0.1,8.2,9,7,4,1
Denis Vavro,Wolfsburg,Bundesliga,DF,28,23,1956,1,0,1.2,0.2,1.2,7000000.0,1118,1290,86.7,25179,8507,7,13,27,34,3,0,1,0.06,21.7,9,0,22,5
Umut Tohumcu,Hoffenheim,Bundesliga,"MF,FW",20,10,346,0,1,0.1,0.2,0.1,7000000.0,99,119,83.2,1419,352,2,9,3,3,2,0,1,0.08,3.8,5,0,3,1
Rafa Marín,Napoli,Serie A,DF,22,1,6,0,0,0.0,0.0,0.0,7000000.0,3,3,100.0,40,12,0,0,0,0,0,0,0,0.0,0.1,0,0,0,0
Keven Schlotterbeck,Augsburg,Bundesliga,DF,27,17,1207,3,1,0.8,0.6,0.8,7000000.0,532,636,83.6,10175,4150,6,18,14,11,4,1,4,0.1,13.4,16,1,12,4
Fabian Rieder,Stuttgart,Bundesliga,"MF,FW",23,19,754,1,3,1.4,2.0,1.4,7000000.0,248,351,70.7,4149,1161,12,15,7,9,1,0,4,0.4,8.4,12,2,19,6
Leopold Querfeld,Union Berlin,Bundesliga,DF,21,20,1117,1,0,0.8,0.6,0.8,7000000.0,398,498,79.9,7908,3175,7,14,11,17,5,0,1,0.12,12.4,5,0,9,2
Jacob Ondrejka,Parma,Serie A,"FW,MF",22,6,131,1,0,0.4,0.0,0.4,7000000.0,37,50,74.0,472,157,1,3,2,1,0,0,1,0.27,1.5,1,0,6,3
Maximilian Arnold,Wolfsburg,Bundesliga,MF,30,23,1971,2,4,0.8,2.4,0.8,7000000.0,905,1155,78.4,18352,5974,34,27,19,18,7,0,6,0.15,21.9,16,5,23,9
Dan Burn,Newcastle Utd,Premier League,DF,32,28,2520,0,0,1.1,0.5,1.1,7000000.0,1315,1470,89.5,23564,8300,5,31,18,29,8,0,0,0.06,28.0,17,0,14,4
Himad Abdelli,Angers,Ligue 1,"MF,FW",25,26,2312,6,1,5.6,2.9,2.5,7000000.0,1150,1394,82.5,17732,4914,33,40,19,19,3,0,7,0.33,25.7,27,2,24,6
Sergio Akieme,Reims,Ligue 1,DF,27,23,1938,1,1,1.0,1.4,1.0,7000000.0,702,868,80.9,10109,2985,14,29,13,22,4,0,2,0.11,21.5,20,10,21,5
Matej Kovar,Leverkusen,Bundesliga,GK,24,3,270,0,0,0.0,0.0,0.0,7000000.0,66,85,77.6,1760,1077,0,0,0,0,0,0,0,0.0,3.0,0,0,0,0
Harrison Reed,Fulham,Premier League,MF,30,10,78,0,0,0.1,0.1,0.1,7000000.0,36,49,73.5,508,129,1,5,1,1,2,0,0,0.25,0.9,2,0,2,1
Romain Faivre,Brest,Ligue 1,"MF,FW",26,19,894,3,2,2.5,1.9,1.7,7000000.0,311,379,82.1,4587,1209,10,13,4,8,2,0,5,0.45,9.9,10,1,17,9
Ramy Bensebaini,Dortmund,Bundesliga,DF,29,25,1562,1,5,1.3,2.7,1.3,7000000.0,911,1063,85.7,15184,4599,13,38,20,35,6,0,6,0.23,17.4,16,4,18,2
Nicolò Casale,Bologna,Serie A,DF,27,12,689,0,0,0.1,0.3,0.1,7000000.0,348,397,87.7,6856,2297,2,5,1,4,1,0,0,0.06,7.7,3,0,1,1
Myron Boadu,Bochum,Bundesliga,FW,24,14,677,7,1,5.6,0.6,4.8,7000000.0,82,112,73.2,1335,168,6,2,0,1,1,0,8,0.83,7.5,1,1,20,9
Sebastiaan Bornauw,Wolfsburg,Bundesliga,DF,26,14,787,2,1,1.2,0.5,1.2,7000000.0,270,330,81.8,4925,1394,1,9,12,14,2,0,3,0.2,8.7,6,0,8,3
Hugo Magnetti,Brest,Ligue 1,MF,26,26,1907,1,0,0.7,0.4,0.7,7000000.0,747,885,84.4,12155,3004,6,40,14,16,4,0,1,0.06,21.2,26,1,16,6
Nicolò Cambiaghi,Bologna,Serie A,FW,24,10,309,1,3,0.3,1.7,0.3,7000000.0,94,130,72.3,1286,366,7,8,2,8,0,0,4,0.57,3.4,4,5,7,2
Pierre Lees-Melou,Brest,Ligue 1,MF,31,15,1087,1,2,0.9,2.0,0.9,7000000.0,620,738,84.0,12087,3730,13,33,8,8,3,0,3,0.24,12.1,23,2,17,6
Félix Lemaréchal,Strasbourg,Ligue 1,"MF,FW",21,20,1293,3,2,2.4,1.6,2.4,7000000.0,364,467,77.9,5203,846,17,26,13,25,2,0,5,0.28,14.4,18,1,15,7
Johann Lepenant,Nantes,Ligue 1,MF,22,24,1766,2,1,1.2,0.9,1.2,7000000.0,490,617,79.4,7628,2018,8,60,14,27,3,0,3,0.11,19.6,29,0,16,5
Junior Dina Ebimbe,Eint Frankfurt,Bundesliga,"MF,FW",24,7,293,0,1,0.9,0.9,0.9,7000000.0,71,112,63.4,1130,280,3,3,7,4,0,0,1,0.56,3.3,2,0,8,0
Emre Can,Dortmund,Bundesliga,"DF,MF",31,25,1863,3,0,2.0,0.5,0.4,7000000.0,1583,1758,90.0,29080,9717,6,45,18,23,4,1,3,0.12,20.7,26,0,7,1
Ismail Jakobs,Monaco,Ligue 1,DF,25,2,180,0,0,0.0,0.2,0.0,7000000.0,85,105,81.0,1245,497,4,5,2,0,0,0,0,0.11,2.0,5,3,0,0
Stefan de Vrij,Inter,Serie A,DF,33,22,1366,2,0,0.9,0.0,0.9,7000000.0,1042,1120,93.0,19284,6371,1,16,19,16,1,0,2,0.06,15.2,10,0,11,2
Bryan Cristante,Roma,Serie A,MF,30,22,1426,2,2,1.1,1.0,1.1,7000000.0,830,978,84.9,14603,4098,13,30,13,14,6,0,4,0.13,15.8,21,0,21,3
Patrick Cutrone,Como,Serie A,FW,27,28,1824,6,3,6.0,2.0,5.2,7000000.0,303,436,69.5,3973,614,18,14,3,11,1,0,9,0.39,20.3,10,2,58,22
Lucas Da Cunha,Como,Serie A,MF,23,29,2017,3,1,1.5,2.6,1.5,7000000.0,1081,1289,83.9,17631,4733,39,32,12,10,3,0,4,0.18,22.4,17,7,24,10
Joseph Okumu,Reims,Ligue 1,DF,27,17,1371,1,0,1.0,0.0,1.0,7000000.0,750,907,82.7,16532,6983,2,25,21,27,4,1,1,0.07,15.2,13,1,12,2
Samuel Dahl,Roma,Serie A,"DF,MF",25,2,43,0,0,0.0,0.0,0.0,7000000.0,24,28,85.7,268,95,0,2,0,2,0,0,0,0.0,0.5,2,0,0,0
Alberto Dossena,Como,Serie A,DF,26,23,1825,0,2,0.8,0.7,0.8,7000000.0,894,1020,87.6,16693,5441,5,33,22,22,1,1,2,0.07,20.3,20,0,12,3
Yannik Engelhardt,Como,Serie A,"MF,DF",24,21,1077,1,1,0.6,1.4,0.6,7000000.0,563,637,88.4,8722,2155,11,27,10,10,3,0,2,0.16,12.0,10,0,8,2
Mauro Arambarri,Getafe,La Liga,MF,29,27,1987,8,0,5.9,0.3,3.6,7000000.0,434,597,72.7,7475,1725,9,30,11,26,8,0,8,0.28,22.1,14,1,33,10
Alexander Prass,Hoffenheim,Bundesliga,DF,23,22,1521,0,1,0.9,2.8,0.9,6500000.0,695,956,72.7,11516,4047,18,41,9,32,1,0,1,0.22,16.9,23,11,12,1
Mattia Viti,Empoli,Serie A,DF,23,22,1872,0,0,0.6,0.1,0.6,6500000.0,692,860,80.5,12768,4420,2,50,38,32,1,0,0,0.03,20.8,36,0,10,1
Gianluca Busio,Venezia,Serie A,MF,22,26,1930,1,0,1.6,1.0,1.6,6500000.0,543,713,76.2,8535,2072,19,37,14,27,3,0,1,0.12,21.4,25,4,27,5
Remo Freuler,Bologna,Serie A,MF,32,29,2524,0,2,1.0,1.3,1.0,6500000.0,1386,1577,87.9,22898,5853,30,65,29,32,6,0,2,0.08,28.0,31,4,12,3
Aarón Martín,Genoa,Serie A,DF,27,29,2536,0,4,0.7,4.6,0.7,6500000.0,1017,1410,72.1,18987,7400,56,62,16,30,5,0,4,0.19,28.2,40,16,13,4
Gaetano Oristanio,Venezia,Serie A,"MF,FW",22,30,2061,2,3,3.2,2.5,3.2,6500000.0,278,401,69.3,4465,1263,31,14,6,16,3,0,5,0.25,22.9,10,6,36,11
Riccardo Sottil,Milan,Serie A,"FW,MF",25,3,82,0,0,0.2,0.3,0.2,6000000.0,28,40,70.0,401,62,2,0,0,0,0,0,0,0.49,0.9,0,1,2,0
Ardian Ismajli,Empoli,Serie A,DF,28,24,2058,0,0,0.3,0.0,0.3,6000000.0,686,799,85.9,13855,4670,0,23,46,29,1,0,0,0.01,22.9,19,0,5,0
Boubacar Traoré,Wolves,Premier League,MF,23,1,1,0,0,0.0,0.0,0.0,6000000.0,0,0,0.0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0
Kyle Walker,Manchester City,Premier League,DF,34,15,970,0,0,0.1,0.4,0.1,6000000.0,724,826,87.7,11928,3918,7,17,3,13,3,0,0,0.05,10.8,10,4,5,2
Luke Thomas,Leicester City,Premier League,DF,23,6,453,0,0,0.0,0.1,0.0,6000000.0,204,259,78.8,3311,1088,2,16,6,8,1,0,0,0.03,5.0,12,1,2,0
Arijanet Muric,Ipswich Town,Premier League,GK,26,18,1620,0,0,0.0,0.0,0.0,6000000.0,454,633,71.7,11705,8247,0,0,0,0,1,0,0,0.0,18.0,0,0,0,0
Tyrone Mings,Aston Villa,Premier League,DF,32,11,871,0,0,0.8,0.2,0.8,6000000.0,500,568,88.0,8944,2861,2,6,5,13,1,0,0,0.1,9.7,5,0,6,1
Christian Eriksen,Manchester Utd,Premier League,MF,33,17,813,0,1,0.2,2.4,0.2,6000000.0,436,546,79.9,7387,2304,21,13,7,10,3,0,1,0.28,9.0,5,1,6,0
Michael Keane,Everton,Premier League,DF,32,10,813,2,0,0.4,0.1,0.4,6000000.0,253,309,81.9,5832,1866,2,10,10,9,4,0,2,0.06,9.0,7,0,8,3
Ibrahim Sulemana,Atalanta,Serie A,MF,21,5,122,0,0,0.0,0.0,0.0,6000000.0,98,111,88.3,1698,362,0,5,0,1,1,0,0,0.0,1.4,2,0,0,0
Gabriel Strefezza,Como,Serie A,"FW,MF",27,30,2219,3,3,3.2,3.0,3.2,6000000.0,744,988,75.3,11529,2989,47,49,12,23,4,0,6,0.25,24.7,36,7,51,17
Borna Sosa,Torino,Serie A,DF,27,19,1181,0,0,0.3,0.7,0.3,6000000.0,546,686,79.6,9165,2699,11,26,14,13,0,0,0,0.07,13.1,19,12,4,1
Tajon Buchanan,Inter,Serie A,"DF,FW",26,6,95,0,0,0.0,0.1,0.0,6000000.0,40,48,83.3,509,151,1,3,0,0,0,0,0,0.13,1.1,0,0,0,0
Davide Zappacosta,Atalanta,Serie A,DF,32,23,1548,4,2,1.8,1.8,1.8,6000000.0,729,872,83.6,11250,3391,19,18,10,19,1,0,6,0.21,17.2,10,18,31,9
Alessandro Zanoli,Genoa,Serie A,"FW,DF",24,26,1556,1,0,0.4,1.6,0.4,6000000.0,305,457,66.7,5019,1559,19,26,11,16,3,0,1,0.12,17.3,18,12,10,3
Jorge Cuenca,Fulham,Premier League,DF,25,6,259,0,0,0.0,0.0,0.0,6000000.0,102,122,83.6,1768,637,0,2,2,3,0,0,0,0.01,2.9,2,0,1,0
Martín Payero,Udinese,Serie A,MF,26,21,1136,1,1,0.9,1.0,0.9,6000000.0,307,384,79.9,5400,1122,9,20,10,11,4,0,2,0.15,12.6,12,6,24,3
Simone Pafundi,Udinese,Serie A,"MF,FW",19,6,65,0,0,0.0,0.0,0.0,6000000.0,29,43,67.4,445,65,1,3,0,0,0,0,0,0.02,0.7,3,0,0,0
Christian Kouamé,Empoli,Serie A,FW,27,7,438,1,0,2.5,0.7,2.5,6000000.0,137,197,69.5,2017,386,9,13,2,3,0,0,1,0.65,4.9,8,1,11,1
Florinel Coman,Cagliari,Serie A,"FW,MF",26,5,134,1,0,0.1,0.0,0.1,6000000.0,38,45,84.4,517,156,0,4,1,1,1,0,1,0.08,1.5,3,0,3,1
Lorenzo Colombo,Empoli,Serie A,"FW,MF",23,30,1954,5,2,5.5,2.8,4.8,6000000.0,300,449,66.8,4358,867,18,24,2,31,3,0,7,0.38,21.7,12,2,49,16
Thomas Kristensen,Udinese,Serie A,DF,23,19,1319,0,0,0.0,0.3,0.0,6000000.0,605,741,81.6,11736,4233,4,22,14,13,4,0,0,0.02,14.7,16,2,1,0
Giovanni Leoni,Parma,Serie A,DF,18,11,721,1,0,0.1,0.0,0.1,6000000.0,382,430,88.8,6913,2292,0,7,12,11,1,1,1,0.01,8.0,2,0,1,1
Lameck Banda,Lecce,Serie A,"FW,MF",24,13,551,0,1,0.8,0.9,0.8,6000000.0,106,139,76.3,1568,302,9,8,2,6,1,0,1,0.28,6.1,5,4,14,3
Junior Adamu,Freiburg,Bundesliga,FW,23,20,1166,2,1,4.4,1.5,4.4,6000000.0,157,251,62.5,1865,233,14,4,9,11,4,1,3,0.46,13.0,1,0,26,10
Jacob Bruun Larsen,Hoffenheim,Bundesliga,"FW,MF",26,12,400,2,2,2.3,0.6,2.3,6000000.0,121,163,74.2,1819,401,8,1,1,5,0,0,4,0.66,4.0,1,2,3,2
Junior Mwanga,Le Havre,Ligue 1,MF,21,5,412,0,0,0.8,0.1,0.8,6000000.0,137,170,80.6,2566,835,4,13,5,8,1,1,0,0.21,3.3,7,0,7,0
Augusto Batalla,Rayo Vallecano,La Liga,GK,28,25,2250,0,0,0.0,0.0,0.0,6000000.0,613,919,66.7,17977,13244,0,3,0,0,4,0,0,0.0,25.0,1,0,0,0
Fran Beltrán,Celta Vigo,La Liga,MF,26,26,1829,2,0,0.7,1.2,0.7,6000000.0,1023,1156,88.5,18078,5236,11,36,19,22,2,0,2,0.09,20.3,26,1,17,2
Arnaud Nordin,Mainz 05,Bundesliga,DF,26,3,24,0,0,0.0,0.3,0.0,6000000.0,11,15,73.3,144,55,1,1,0,0,0,0,0,1.16,0.3,0,0,1,0
Thomas Müller,Bayern Munich,Bundesliga,"MF,FW",35,24,907,1,3,3.0,2.3,3.0,6000000.0,370,490,75.5,5390,1225,25,5,1,7,3,0,4,0.52,10.1,3,11,20,9
Luca Jaquez,Stuttgart,Bundesliga,DF,21,2,87,0,0,0.0,0.0,0.0,6000000.0,37,43,86.0,651,177,0,3,0,1,0,0,0,0.0,1.0,0,0,0,0
Martin Valjent,Mallorca,La Liga,DF,29,24,2133,2,0,0.5,0.0,0.5,6000000.0,898,1045,85.9,17088,6641,2,23,15,20,4,0,2,0.02,23.7,16,0,8,3
Benjamin André,Lille,Ligue 1,MF,34,25,2242,0,2,1.3,1.6,1.3,6000000.0,1320,1596,82.7,22247,5972,16,76,42,37,11,0,2,0.12,24.9,37,2,15,4
Mohamed Bamba,Reims,Ligue 1,MF,20,2,10,0,0,0.0,0.0,0.0,6000000.0,16,19,84.2,336,82,0,0,0,2,0,0,0,0.0,0.1,0,0,0,0
Brendan Chardonnet,Brest,Ligue 1,DF,30,23,2056,1,0,0.6,0.6,0.6,6000000.0,824,1010,81.6,17327,6478,6,36,25,41,4,0,1,0.05,22.8,27,1,11,1
Jonathan Clauss,Nice,Ligue 1,"DF,MF",32,22,1769,3,5,2.1,5.5,2.1,6000000.0,772,1063,72.6,12660,5162,38,44,39,18,6,0,8,0.38,19.7,33,12,22,8
Thierry Correia,Valencia,La Liga,DF,26,11,768,0,0,0.3,0.3,0.3,6000000.0,330,441,74.8,5750,2179,5,27,4,10,1,0,0,0.08,8.5,18,3,7,3
Alassane Pléa,Gladbach,Bundesliga,"MF,FW",32,24,1481,10,4,6.6,2.7,5.9,6000000.0,468,652,71.8,7374,2435,20,7,2,8,3,0,14,0.57,16.5,3,6,35,10
Kilian Fischer,Wolfsburg,Bundesliga,DF,24,26,1802,0,0,0.2,0.3,0.2,6000000.0,745,963,77.4,12638,3935,7,50,14,35,5,0,0,0.02,20.0,33,2,4,0
Andreas Hanche-Olsen,Mainz 05,Bundesliga,DF,28,17,909,1,1,0.4,0.3,0.4,6000000.0,339,426,79.6,5878,2011,2,16,7,19,3,1,2,0.07,10.1,8,0,7,1
Moritz Jenz,Mainz 05,Bundesliga,DF,25,17,1420,0,0,1.0,0.3,1.0,6000000.0,650,772,84.2,11737,4062,3,36,24,21,4,0,0,0.08,15.8,20,0,8,4
Igor Matanovic,Eint Frankfurt,Bundesliga,FW,22,16,312,1,0,1.1,0.0,1.1,6000000.0,57,75,76.0,837,209,1,2,1,3,0,0,1,0.34,3.5,0,0,12,4
Issa Kaboré,Werder Bremen,Bundesliga,"DF,FW",23,9,308,0,0,0.7,0.8,0.7,6000000.0,142,180,78.9,2066,736,7,8,2,8,0,0,0,0.45,3.4,4,3,7,0
Derrick Köhn,Werder Bremen,Bundesliga,"DF,FW",26,22,1295,2,2,0.7,1.6,0.7,6000000.0,559,705,79.3,8317,2021,16,19,9,20,2,0,4,0.16,14.4,10,6,13,4
Nelson Weiper,Mainz 05,Bundesliga,"FW,MF",20,17,510,3,0,2.9,0.7,2.9,6000000.0,78,119,65.5,1013,166,5,4,1,4,2,0,3,0.62,5.7,4,0,12,9
Julian Weigl,Gladbach,Bundesliga,MF,29,26,2277,0,2,0.7,1.1,0.7,6000000.0,1308,1469,89.0,23654,7148,11,43,41,41,7,0,2,0.07,25.3,19,1,17,6
Ibrahima Sissoko,Bochum,Bundesliga,MF,27,27,2219,2,1,1.3,0.9,1.3,6000000.0,665,879,75.7,11224,3592,20,55,33,28,8,0,3,0.09,24.7,37,4,21,6
Yahia Fofana,Angers,Ligue 1,GK,24,28,2520,0,0,0.0,0.1,0.0,6000000.0,586,848,69.1,17150,12247,1,0,1,0,4,0,0,0.0,28.0,0,0,0,0
Angelo Fulgini,Lens,Ligue 1,"MF,FW",28,20,925,1,1,2.1,2.6,2.1,6000000.0,441,569,77.5,6490,1758,20,13,2,11,3,0,2,0.46,10.3,9,7,22,7
Gaëtan Laborde,Nice,Ligue 1,FW,30,22,1361,9,4,9.6,2.8,6.5,6000000.0,260,378,68.8,3585,736,22,16,5,16,1,0,13,0.82,15.1,10,2,56,18
Mark McKenzie,Toulouse,Ligue 1,DF,26,25,2110,1,0,1.4,0.4,1.4,6000000.0,963,1124,85.7,17536,6864,3,46,19,24,1,0,1,0.08,23.4,27,0,7,2
Pablo Fornals,Betis,La Liga,"MF,FW",29,19,1345,1,0,1.5,2.2,1.5,6000000.0,606,774,78.3,9883,3568,28,16,17,19,2,0,1,0.25,14.9,10,8,18,3
Chidera Ejuke,Sevilla,La Liga,FW,27,19,821,2,1,1.0,1.5,1.0,6000000.0,315,387,81.4,4899,801,15,14,2,12,0,0,3,0.28,9.1,9,2,19,7
Unai Gómez,Athletic Club,La Liga,"MF,FW",21,24,844,1,2,1.2,0.8,1.2,6000000.0,148,215,68.8,2274,571,8,6,2,8,1,0,3,0.21,9.4,2,0,14,2
Dominik Greif,Mallorca,La Liga,GK,28,25,2250,0,0,0.0,0.0,0.0,6000000.0,600,855,70.2,18461,14537,0,0,0,0,1,0,0,0.0,25.0,0,0,0,0
Finn Dahmen,Augsburg,Bundesliga,GK,27,13,1170,0,0,0.0,0.0,0.0,6000000.0,358,522,68.6,11077,8241,0,1,0,0,0,0,0,0.0,13.0,0,0,0,0
Dan-Axel Zagadou,Stuttgart,Bundesliga,"DF,MF",25,2,29,0,0,0.0,0.0,0.0,6000000.0,9,9,100.0,153,22,0,0,1,0,1,0,0,0.0,0.3,0,0,0,0
Manu Sánchez,Alavés,La Liga,DF,24,26,2044,1,0,1.7,0.6,1.7,6000000.0,639,889,71.9,10112,3878,11,63,25,43,6,0,1,0.1,22.7,43,11,12,2
Rui Silva,Betis,La Liga,GK,31,15,1350,0,0,0.0,0.1,0.0,6000000.0,412,524,78.6,10283,6196,2,0,0,1,1,0,0,0.01,15.0,0,0,0,0
Antonio Sivera,Alavés,La Liga,GK,28,25,2180,0,0,0.0,0.1,0.0,6000000.0,434,762,57.0,17585,15480,1,1,0,0,5,1,0,0.0,24.2,0,0,0,0
Carl Starfelt,Celta Vigo,La Liga,DF,29,27,2256,1,0,0.5,0.2,0.5,6000000.0,1529,1633,93.6,27594,9722,6,37,31,29,5,0,1,0.03,25.1,17,0,5,1
César Tárrega,Valencia,La Liga,DF,23,27,2396,2,0,1.8,0.1,1.8,6000000.0,1019,1230,82.8,19875,6811,3,38,17,28,4,0,2,0.07,26.6,27,0,16,4
Diego Llorente,Betis,La Liga,DF,31,29,2475,2,0,1.4,0.3,1.4,6000000.0,1352,1563,86.5,26834,8749,6,36,43,29,4,0,2,0.06,27.5,20,0,10,3
Marash Kumbulla,Espanyol,La Liga,DF,25,27,2271,2,0,1.3,0.0,1.3,6000000.0,852,1016,83.9,16872,6413,1,39,25,37,7,0,2,0.05,25.2,18,1,9,3
Alex Král,Espanyol,La Liga,MF,26,29,2461,0,1,1.0,1.5,1.0,6000000.0,539,758,71.1,9016,2474,12,51,23,27,1,0,1,0.09,27.3,33,4,18,2
Nicolas Pépé,Villarreal,La Liga,"FW,MF",29,19,902,1,2,2.5,2.0,2.5,6000000.0,329,415,79.3,4299,851,13,8,3,7,1,0,3,0.45,10.0,3,1,30,14
Noahkai Banks,Augsburg,Bundesliga,DF,18,8,278,0,0,0.1,0.0,0.1,6000000.0,156,168,92.9,2911,843,0,11,5,4,2,0,0,0.02,3.1,5,0,1,0
Felix Agu,Werder Bremen,Bundesliga,DF,25,16,1260,3,0,1.0,1.4,1.0,6000000.0,465,586,79.4,7387,2411,16,24,13,16,1,0,3,0.17,14.0,11,11,5,4
James Rodríguez,Rayo Vallecano,La Liga,"MF,FW",33,6,140,0,0,0.3,0.2,0.3,6000000.0,78,98,79.6,1368,440,2,3,1,2,1,0,0,0.29,1.6,2,0,4,2
Abel Ruiz,Girona,La Liga,FW,25,18,1166,4,0,4.5,0.4,3.0,6000000.0,198,227,87.2,2981,405,4,6,4,5,3,0,4,0.38,13.0,2,0,20,7
Gaëtan Perrin,Auxerre,Ligue 1,"MF,FW",28,27,2074,8,7,4.5,6.5,4.5,6000000.0,548,782,70.1,10018,3730,56,47,12,10,1,0,15,0.48,23.0,26,5,46,23
Joe Aribo,Southampton,Premier League,"MF,DF",28,29,1846,3,0,2.7,1.6,2.7,6000000.0,851,963,88.4,12688,2480,15,42,20,24,1,0,3,0.21,20.5,28,1,16,7
Tanner Tessmann,Lyon,Ligue 1,MF,23,19,952,0,0,0.4,0.1,0.4,6000000.0,517,581,89.0,8686,1909,4,19,15,10,3,0,0,0.05,10.6,11,0,11,6
Daniel Svensson,Dortmund,Bundesliga,"DF,FW",23,6,241,0,0,0.0,0.1,0.0,5500000.0,113,149,75.8,1832,674,2,7,1,5,0,0,0,0.05,2.7,5,1,1,1
Marvin Pieringer,Heidenheim,Bundesliga,"FW,MF",25,25,1734,7,2,7.6,3.2,5.3,5500000.0,278,430,64.7,3736,1072,25,20,6,20,7,0,9,0.56,19.3,11,0,48,16
Zito Luvumbo,Cagliari,Serie A,"FW,MF",23,19,1135,2,1,1.3,1.6,1.3,5500000.0,139,234,59.4,2057,544,11,7,1,4,2,0,3,0.24,12.6,4,3,17,3
Alessandro Bianco,Monza,Serie A,MF,22,27,2012,1,0,1.2,0.7,1.2,5000000.0,966,1129,85.6,18824,4861,15,0,0,0,7,0,1,0.08,0.2,0,3,0,0
Tomás Palacios,Monza,Serie A,DF,21,5,287,0,0,0.0,0.0,0.0,5000000.0,15,15,100.0,243,75,0,4,4,4,1,0,0,0.01,0.1,2,0,1,0
Sebastian Walukiewicz,Torino,Serie A,DF,25,23,1439,0,0,0.4,0.3,0.4,5000000.0,643,799,80.5,11015,3767,3,1,1,3,6,0,0,0.04,2.0,0,4,6,1
Noah Weißhaupt,Freiburg,Bundesliga,FW,23,3,80,0,0,0.0,0.0,0.0,5000000.0,149,254,58.7,2819,948,16,6,2,6,0,0,0,0.05,0.9,4,10,1,0
André Silva,RB Leipzig,Bundesliga,"FW,MF",29,8,132,1,2,1.3,0.6,0.5,5000000.0,79,113,69.9,1113,185,4,1,1,1,0,0,3,1.28,4.1,1,1,12,5
David de Gea,Fiorentina,Serie A,GK,34,28,2520,0,1,0.0,0.4,0.0,5000000.0,664,916,72.5,20773,15719,3,1,0,0,1,0,1,0.01,28.0,0,0,0,0
Mahmoud Dahoud,Eint Frankfurt,Bundesliga,MF,29,9,364,1,1,0.5,0.7,0.5,5000000.0,191,225,84.9,2869,939,8,9,2,5,2,0,2,0.31,4.0,4,0,7,2
Jay Idzes,Venezia,Serie A,DF,24,28,2497,1,0,1.0,0.3,1.0,5000000.0,1197,1403,85.3,21575,7524,5,40,24,42,4,0,1,0.05,27.7,25,1,11,2
Gvidas Gineitis,Torino,Serie A,MF,20,23,957,3,1,0.9,1.8,0.9,5000000.0,290,388,74.7,4728,1437,19,16,10,14,2,0,4,0.26,10.6,8,2,20,6
Leandro Paredes,Roma,Serie A,MF,30,18,1132,1,1,1.3,1.4,0.5,5000000.0,920,1055,87.2,17145,5427,19,25,17,12,3,0,2,0.22,12.6,14,3,18,6
