Jugador,Equipo,Competición,Posición,Edad,Partidos,Minutos,Goles,Asistencias,xG,xAG,npxG,ValorMercado,PasesCompletados,IntentosPase,PctPasesCompletados,DistanciaTotalPases,DistanciaProgresiva,PasesClave,Entradas,Intercepciones,Bloqueos,TarjetasAmarillas,TarjetasRojas,Goles_Asistencias,xG_xAG,Equiv_90min,EntradasGanadas,AsistDesdeCruzados,Tiros,TirosAlArco
Jules Koundé,Barcelona,La Liga,DF,26,30,2425,2,3,1.8,3.8,1.8,60000000.0,1691,1954,86.5,26399,7658,30,58,19,34,4,0,5,0.21,26.9,39,6,17,6
Oihan Sancet,Athletic Club,La Liga,MF,24,21,1347,13,1,8.3,1.4,6.7,60000000.0,390,477,81.8,5961,1448,17,10,5,9,2,0,14,0.65,15.0,6,1,40,15
Warren Zaïre-Emery,Paris S-G,Ligue 1,"MF,DF",19,23,1656,1,1,1.4,0.9,1.4,60000000.0,1238,1344,92.1,17959,3708,14,43,17,29,2,0,2,0.13,18.4,21,1,14,7
Désiré Doué,Paris S-G,Ligue 1,"FW,MF",19,25,1429,5,6,3.6,6.5,3.6,60000000.0,741,903,82.1,10825,2587,44,34,12,16,1,0,11,0.64,15.9,21,13,48,17
Loïs Openda,RB Leipzig,Bundesliga,"FW,MF",25,27,2076,8,5,8.7,3.0,7.9,60000000.0,317,495,64.0,3968,838,24,8,5,17,4,1,13,0.51,23.1,4,1,70,30
Dani Olmo,Barcelona,La Liga,"MF,FW",26,18,905,7,2,4.2,2.6,3.4,60000000.0,359,453,79.2,5523,1668,17,14,2,5,0,0,9,0.67,10.1,9,1,31,11
Ademola Lookman,Atalanta,Serie A,"FW,MF",27,24,1703,13,5,9.2,5.3,8.4,60000000.0,522,711,73.4,7346,2051,49,27,2,16,4,0,18,0.76,18.9,13,8,67,28
Ibrahima Konaté,Liverpool,Premier League,DF,25,24,1984,1,2,1.5,0.9,1.5,60000000.0,1340,1484,90.3,24617,8662,9,31,10,25,5,0,3,0.11,22.0,21,0,13,2
Martín Zubimendi,Real Sociedad,La Liga,MF,26,28,2329,2,1,1.8,0.9,1.8,60000000.0,1183,1420,83.3,20314,6045,16,62,33,34,4,0,3,0.11,25.9,34,1,16,5
Dejan Kulusevski,Tottenham,Premier League,"MF,FW",24,27,2154,7,4,4.1,6.1,4.1,60000000.0,611,831,73.5,8552,2762,63,39,11,25,3,0,11,0.43,23.9,22,6,43,16
Federico Dimarco,Inter,Serie A,"DF,FW",27,26,1836,4,6,2.8,5.2,2.8,60000000.0,804,1059,75.9,13678,3884,40,20,12,20,3,0,10,0.39,20.4,11,17,49,17
Alejandro Balde,Barcelona,La Liga,DF,21,27,2040,0,4,0.5,3.4,0.5,60000000.0,1134,1296,87.5,16850,3556,26,16,5,23,2,0,4,0.17,22.7,10,11,12,3
Cristian Romero,Tottenham,Premier League,DF,26,15,1191,1,0,1.1,0.5,1.1,55000000.0,924,1039,88.9,17331,7036,6,31,17,16,2,0,1,0.13,13.2,26,1,12,5
Micky van de Ven,Tottenham,Premier League,DF,23,11,905,0,2,0.6,1.2,0.6,55000000.0,659,725,90.9,12335,3736,2,10,9,9,4,0,2,0.17,10.1,6,0,6,2
Amadou Onana,Aston Villa,Premier League,MF,23,19,1166,2,0,1.8,0.2,1.8,55000000.0,509,575,88.5,8002,1862,5,39,20,13,4,0,2,0.16,13.0,22,1,14,4
Leny Yoro,Manchester Utd,Premier League,DF,19,15,787,0,0,0.7,0.0,0.7,55000000.0,488,526,92.8,7888,2606,0,21,13,5,3,0,0,0.08,8.7,10,1,5,1
Ethan Nwaneri,Arsenal,Premier League,"FW,MF",18,21,716,3,2,0.9,1.0,0.9,55000000.0,254,318,79.9,3683,1026,11,10,1,8,1,0,5,0.24,8.0,7,5,19,7
Nuno Mendes,Paris S-G,Ligue 1,DF,22,20,1405,1,2,2.0,4.0,2.0,55000000.0,1061,1224,86.7,18575,5356,21,27,16,21,2,0,3,0.39,15.6,17,11,17,9
Levi Colwill,Chelsea,Premier League,DF,22,28,2519,1,1,0.7,1.1,0.7,55000000.0,1955,2183,89.6,35488,12539,12,34,28,30,7,0,2,0.06,28.0,23,2,10,2
Gabriel Martinelli,Arsenal,Premier League,"FW,MF",23,26,1704,6,4,4.9,4.3,4.9,55000000.0,367,527,69.6,5332,1173,32,19,3,10,1,0,10,0.49,18.9,14,11,36,17
Kobbie Mainoo,Manchester Utd,Premier League,MF,19,18,1285,0,0,0.5,1.5,0.5,55000000.0,580,672,86.3,7733,1966,13,37,17,15,5,0,0,0.14,14.3,24,0,10,1
Eberechi Eze,Crystal Palace,Premier League,"MF,FW",26,26,2095,2,8,6.4,4.7,6.4,55000000.0,659,886,74.4,11062,2927,51,36,10,24,1,0,10,0.48,23.3,22,3,87,22
Matheus Cunha,Wolves,Premier League,"MF,FW",25,26,2143,13,4,6.7,6.6,6.7,55000000.0,638,908,70.3,10202,3454,43,32,16,17,3,0,17,0.56,23.8,18,9,86,35
Bruno Fernandes,Manchester Utd,Premier League,MF,30,29,2465,8,9,8.7,6.4,6.3,55000000.0,1348,1800,74.9,23682,8382,72,68,21,28,4,2,17,0.55,27.4,41,9,75,23
Nicolas Jackson,Chelsea,Premier League,FW,23,24,1817,9,5,11.5,4.0,11.5,55000000.0,239,319,74.9,3159,734,25,17,2,12,6,0,14,0.77,20.2,10,1,65,31
Marcus Rashford,Manchester Utd,Premier League,"FW,MF",27,15,978,4,1,1.7,2.1,1.7,50000000.0,253,343,73.8,3508,868,15,6,1,2,2,0,5,0.35,3.3,3,8,11,3
Mohammed Kudus,West Ham,Premier League,"FW,MF",24,25,2077,3,2,5.9,2.3,5.9,50000000.0,572,682,83.9,9371,1440,26,31,4,21,1,1,5,0.35,23.1,19,12,59,17
Darwin Núñez,Liverpool,Premier League,FW,25,24,986,5,2,5.0,1.2,5.0,50000000.0,139,197,70.6,2060,501,9,18,3,6,8,0,7,0.57,11.0,15,0,31,12
Pedro Neto,Chelsea,Premier League,FW,25,27,1621,3,4,2.1,4.5,2.1,50000000.0,494,628,78.7,7855,1580,33,16,7,11,8,0,7,0.37,18.0,9,13,39,10
Joshua Kimmich,Bayern Munich,Bundesliga,MF,30,27,2307,1,6,1.4,6.2,1.4,50000000.0,2688,3007,89.4,48363,13749,69,42,20,20,4,0,7,0.29,25.6,26,7,26,7
Bryan Mbeumo,Brentford,Premier League,FW,25,30,2694,16,5,9.8,6.7,5.9,50000000.0,700,1040,67.3,11157,3356,53,34,13,21,2,0,21,0.55,29.9,20,14,60,27
James Maddison,Tottenham,Premier League,MF,28,28,1611,9,5,5.8,3.6,5.8,50000000.0,904,1123,80.5,14611,4456,34,27,11,13,6,0,14,0.52,17.9,16,5,38,17
Piero Hincapié,Leverkusen,Bundesliga,DF,23,26,2206,2,2,2.6,3.0,2.6,50000000.0,1469,1672,87.9,24368,8325,12,41,29,32,6,0,4,0.23,24.5,33,5,18,2
Curtis Jones,Liverpool,Premier League,"MF,FW",24,25,1257,3,3,4.0,0.9,4.0,50000000.0,697,745,93.6,10176,2036,17,29,5,15,3,1,6,0.35,14.0,16,0,27,10
Brennan Johnson,Tottenham,Premier League,FW,23,27,1789,9,2,9.2,2.0,9.2,50000000.0,383,535,71.6,5021,1341,17,37,4,20,5,0,11,0.56,19.9,24,5,49,18
Jamie Gittens,Dortmund,Bundesliga,"FW,MF",20,28,1633,8,3,3.7,2.5,3.7,50000000.0,380,505,75.2,5306,940,20,27,8,15,3,0,11,0.34,18.1,17,4,50,23
