Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls.1,stats_Ast.1,stats_G+A.1,stats_G-PK.1,stats_G+A-PK,stats_xG.1,stats_xAG.1,stats_xG+xAG,stats_npxG.1,stats_npxG+xAG.1,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp.1,passing_Att.1,passing_Cmp%.1,passing_Cmp.2,passing_Att.2,passing_Cmp%.2,passing_Cmp.3,passing_Att.3,passing_Cmp%.3,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive.1,gca_PassDead.1,gca_TO.1,gca_Sh.1,gca_Fld.1,gca_Def.1,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl.1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off.1,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%,first_name,last_name,full_name,market_value_in_eur,highest_market_value_in_eur
Ronald Araujo,uy URU,DF,Barcelona,La Liga,26,1999,7,6,416,4.6,1,1,2,1,0,0,1,0,0.5,0.5,0.4,0.9,5,25,3,0.22,0.22,0.43,0.22,0.43,0.11,0.09,0.19,0.11,0.19,uy URU,DF,Barcelona,La Liga,26-030,1999,4.6,1,3,2,66.7,0.65,0.43,0.33,0.5,14.0,0,0,0,0.5,0.5,0.16,0.5,0.5,uy URU,DF,Barcelona,La Liga,26-030,1999,4.6,397,427,93.0,7713,2169,106,116,91.4,248,257,96.5,34,42,81.0,1,0.4,0.2,0.6,3,25,3,0,25,uy URU,DF,Barcelona,La Liga,26-030,1999,4.6,427,412,14,11,0,0,0,2,0,0,0,0,397,1,0,uy URU,DF,Barcelona,La Liga,26-030,1999,4.6,8,1.73,7,0,0,1,0,0,1,0.22,0,0,0,1,0,0,uy URU,DF,Barcelona,La Liga,26-030,1999,4.6,7,6,3,3,1,2,2,100.0,0,2,2,0,3,10,11,0,uy URU,DF,Barcelona,La Liga,26-030,1999,4.6,463,15,123,317,25,6,463,1,0,0.0,1,100.0,312,1741,992,5,2,0,1,1,358,3,uy URU,DF,Barcelona,La Liga,26-030,1999,7,416,59,15.4,4.6,6,69,3,1,5,6,2.43,13,4,9,1.95,0.17,9.1,2.6,6.5,1.41,0.04,uy URU,DF,Barcelona,La Liga,26-030,1999,4.6,1,0,0,6,2,0,0,3,6,0,0,0,16,17,12,58.6,Ronald,Araujo,Ronald Araujo,50000000.0,70000000.0
Dayot Upamecano,fr FRA,DF,Bayern Munich,Bundesliga,26,1998,20,20,"1,759",19.5,2,0,2,2,0,0,6,0,1.2,1.2,0.5,1.7,17,137,4,0.1,0.0,0.1,0.1,0.1,0.06,0.03,0.09,0.06,0.09,fr FRA,DF,Bayern Munich,Bundesliga,26-161,1998,19.5,2,13,6,46.2,0.67,0.31,0.15,0.33,11.1,0,0,0,1.2,1.2,0.09,0.8,0.8,fr FRA,DF,Bayern Munich,Bundesliga,26-161,1998,19.5,1805,1923,93.9,34017,11145,602,641,93.9,1040,1075,96.7,147,177,83.1,0,0.5,1.2,-0.5,7,197,3,1,137,fr FRA,DF,Bayern Munich,Bundesliga,26-161,1998,19.5,1923,1880,42,21,0,2,6,8,0,0,0,0,1805,1,7,fr FRA,DF,Bayern Munich,Bundesliga,26-161,1998,19.5,20,1.02,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,fr FRA,DF,Bayern Munich,Bundesliga,26-161,1998,19.5,36,22,18,16,2,16,29,55.2,13,17,7,10,34,70,45,1,fr FRA,DF,Bayern Munich,Bundesliga,26-161,1998,19.5,2101,96,626,1364,116,17,2101,6,3,50.0,3,50.0,1440,7122,4165,17,27,0,6,4,1632,4,fr FRA,DF,Bayern Munich,Bundesliga,26-161,1998,20,"1,759",88,69.8,19.5,20,88,16,0,0,2,2.5,60,16,44,2.25,1.07,47.1,12.5,34.6,1.77,-0.08,fr FRA,DF,Bayern Munich,Bundesliga,26-161,1998,19.5,6,0,0,20,11,0,6,34,22,0,0,0,115,59,42,58.4,Dayot,Upamecano,Dayot Upamecano,50000000.0,60000000.0
Aleksandar Pavlovic,de GER,MF,Bayern Munich,Bundesliga,20,2004,15,14,"1,041",11.6,1,0,1,1,0,0,2,0,0.4,0.4,0.2,0.6,8,92,30,0.09,0.0,0.09,0.09,0.09,0.03,0.01,0.05,0.03,0.05,de GER,MF,Bayern Munich,Bundesliga,20-338,2004,11.6,1,7,3,42.9,0.61,0.26,0.14,0.33,20.9,0,0,0,0.4,0.4,0.06,0.6,0.6,de GER,MF,Bayern Munich,Bundesliga,20-338,2004,11.6,1073,1143,93.9,16854,4086,592,609,97.2,415,431,96.3,53,76,69.7,0,0.2,1.4,-0.2,5,128,10,1,92,de GER,MF,Bayern Munich,Bundesliga,20-338,2004,11.6,1143,1135,7,4,2,5,5,3,0,0,0,0,1073,1,6,de GER,MF,Bayern Munich,Bundesliga,20-338,2004,11.6,20,1.73,19,0,0,1,0,0,1,0.09,1,0,0,0,0,0,de GER,MF,Bayern Munich,Bundesliga,20-338,2004,11.6,30,16,9,13,8,18,27,66.7,9,17,3,14,3,33,9,0,de GER,MF,Bayern Munich,Bundesliga,20-338,2004,11.6,1230,11,138,821,276,10,1230,4,4,100.0,0,0.0,730,3149,1356,8,28,3,11,1,1032,30,de GER,MF,Bayern Munich,Bundesliga,20-338,2004,15,"1,041",69,41.3,11.6,14,73,5,1,22,3,2.4,33,8,25,2.16,0.4,25.0,8.1,16.9,1.46,-0.57,de GER,MF,Bayern Munich,Bundesliga,20-338,2004,11.6,2,0,0,13,5,0,5,3,16,0,0,0,56,6,7,46.2,Aleksandar,Pavlovic,Aleksandar Pavlovic,50000000.0,50000000.0
Christian Pulisic,us USA,"FW,MF",Milan,Serie A,26,1998,27,22,"1,885",20.9,9,7,16,6,3,4,1,0,9.9,6.7,5.2,11.9,90,88,147,0.43,0.33,0.76,0.29,0.62,0.47,0.25,0.72,0.32,0.57,us USA,"FW,MF",Milan,Serie A,26-200,1998,20.9,9,39,17,43.6,1.86,0.81,0.15,0.35,17.3,1,3,4,9.9,6.7,0.17,-0.9,-0.7,us USA,"FW,MF",Milan,Serie A,26-200,1998,20.9,627,825,76.0,9267,2329,367,412,89.1,210,276,76.1,30,84,35.7,7,5.2,4.8,1.8,56,44,32,8,88,us USA,"FW,MF",Milan,Serie A,26-200,1998,20.9,825,734,85,16,12,1,98,14,55,37,4,0,627,6,20,us USA,"FW,MF",Milan,Serie A,26-200,1998,20.9,96,4.59,70,11,2,6,4,3,10,0.48,4,2,0,2,1,1,us USA,"FW,MF",Milan,Serie A,26-200,1998,20.9,33,21,10,11,12,12,29,41.4,17,19,1,18,3,36,11,1,us USA,"FW,MF",Milan,Serie A,26-200,1998,20.9,1042,11,108,369,583,98,1038,54,24,44.4,23,42.6,649,4409,2554,90,57,28,43,28,737,147,us USA,"FW,MF",Milan,Serie A,26-200,1998,27,"1,885",70,67.6,20.9,22,79,8,5,30,0,1.59,37,26,11,0.53,0.62,42.6,23.4,19.2,0.92,0.91,us USA,"FW,MF",Milan,Serie A,26-200,1998,20.9,1,0,0,14,26,2,98,3,21,1,0,0,76,9,32,22.0,Christian,Pulisic,Christian Pulisic,50000000.0,60000000.0
Tijjani Reijnders,nl NED,MF,Milan,Serie A,26,1998,30,29,"2,498",27.8,9,3,12,9,0,0,2,1,5.6,5.6,2.9,8.5,101,185,103,0.32,0.11,0.43,0.32,0.43,0.2,0.1,0.31,0.2,0.31,nl NED,MF,Milan,Serie A,26-251,1998,27.8,9,62,25,40.3,2.23,0.9,0.15,0.36,20.0,2,0,0,5.6,5.6,0.09,3.4,3.4,nl NED,MF,Milan,Serie A,26-251,1998,27.8,1055,1215,86.8,17670,5089,495,548,90.3,449,492,91.3,83,119,69.7,3,2.9,3.2,0.1,41,115,44,1,185,nl NED,MF,Milan,Serie A,26-251,1998,27.8,1215,1120,92,49,11,2,44,6,29,16,6,0,1055,3,12,nl NED,MF,Milan,Serie A,26-251,1998,27.8,95,3.42,62,13,11,7,2,0,9,0.32,5,1,1,2,0,0,nl NED,MF,Milan,Serie A,26-251,1998,27.8,23,13,6,12,5,9,23,39.1,14,17,4,13,29,52,21,2,nl NED,MF,Milan,Serie A,26-251,1998,27.8,1464,31,193,752,534,69,1464,57,33,57.9,21,36.8,961,6686,3532,101,87,26,31,25,1086,103,nl NED,MF,Milan,Serie A,26-251,1998,30,"2,498",83,89.5,27.8,29,85,24,1,32,0,1.6,45,34,11,0.4,0.7,49.5,32.3,17.2,0.62,0.0,nl NED,MF,Milan,Serie A,26-251,1998,27.8,2,1,0,23,16,1,44,29,13,1,0,0,92,5,13,27.8,Tijjani,Reijnders,Tijjani Reijnders,50000000.0,50000000.0
Castello Lukeba,fr FRA,DF,RB Leipzig,Bundesliga,22,2002,18,13,"1,127",12.5,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,10,54,7,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,fr FRA,DF,RB Leipzig,Bundesliga,22-110,2002,12.5,0,4,1,25.0,0.32,0.08,0.0,0.0,15.6,0,0,0,0.4,0.4,0.1,-0.4,-0.4,fr FRA,DF,RB Leipzig,Bundesliga,22-110,2002,12.5,828,936,88.5,14085,5768,372,402,92.5,398,432,92.1,48,78,61.5,0,0.2,0.4,-0.2,3,68,6,1,54,fr FRA,DF,RB Leipzig,Bundesliga,22-110,2002,12.5,936,900,35,14,0,7,6,19,0,0,0,0,828,1,9,fr FRA,DF,RB Leipzig,Bundesliga,22-110,2002,12.5,12,0.96,10,1,1,0,0,0,1,0.08,1,0,0,0,0,0,fr FRA,DF,RB Leipzig,Bundesliga,22-110,2002,12.5,25,12,11,11,3,11,15,73.3,4,19,9,10,13,38,55,0,fr FRA,DF,RB Leipzig,Bundesliga,22-110,2002,12.5,1080,96,429,594,67,9,1080,13,8,61.5,3,23.1,638,2621,1449,10,9,0,17,5,779,7,fr FRA,DF,RB Leipzig,Bundesliga,22-110,2002,18,"1,127",63,44.7,12.5,13,81,7,5,15,1,1.78,24,13,11,0.88,1.01,18.5,14.5,4.1,0.32,0.82,fr FRA,DF,RB Leipzig,Bundesliga,22-110,2002,12.5,2,0,0,8,9,0,6,13,12,0,0,0,50,18,11,62.1,Castello,Lukeba,Castello Lukeba,50000000.0,50000000.0
Frenkie de Jong,nl NED,MF,Barcelona,La Liga,27,1997,18,6,723,8.0,2,2,4,2,0,0,2,0,0.6,0.6,1.8,2.4,21,67,14,0.25,0.25,0.5,0.25,0.5,0.08,0.23,0.3,0.08,0.3,nl NED,MF,Barcelona,La Liga,27-329,1997,8.0,2,4,3,75.0,0.5,0.37,0.5,0.67,18.4,0,0,0,0.6,0.6,0.16,1.4,1.4,nl NED,MF,Barcelona,La Liga,27-329,1997,8.0,645,687,93.9,9700,2727,358,364,98.4,233,248,94.0,30,37,81.1,2,1.8,1.6,0.2,16,78,7,0,67,nl NED,MF,Barcelona,La Liga,27-329,1997,8.0,687,671,14,13,4,2,4,1,0,0,0,0,645,2,6,nl NED,MF,Barcelona,La Liga,27-329,1997,8.0,31,3.85,27,0,2,1,0,1,10,1.24,8,0,2,0,0,0,nl NED,MF,Barcelona,La Liga,27-329,1997,8.0,12,7,3,5,4,4,11,36.4,7,5,0,5,3,15,6,0,nl NED,MF,Barcelona,La Liga,27-329,1997,8.0,732,11,89,490,154,10,732,8,5,62.5,3,37.5,483,2691,1542,21,22,0,3,4,596,14,nl NED,MF,Barcelona,La Liga,27-329,1997,18,723,40,26.8,8.0,6,63,0,12,29,3,2.22,28,10,18,2.24,0.6,23.2,8.9,14.3,1.78,0.56,nl NED,MF,Barcelona,La Liga,27-329,1997,8.0,2,0,0,9,12,0,4,3,7,0,1,0,29,7,5,58.3,Frenkie,de Jong,Frenkie de Jong,45000000.0,90000000.0
Lisandro Martinez,ar ARG,DF,Manchester Utd,Premier League,27,1998,20,20,"1,751",19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.1,0.05,0.15,0.1,0.15,0.07,0.06,0.13,0.07,0.13,ar ARG,DF,Manchester Utd,Premier League,27-078,1998,19.5,2,17,6,35.3,0.87,0.31,0.12,0.33,15.9,0,0,0,1.3,1.3,0.08,0.7,0.7,ar ARG,DF,Manchester Utd,Premier League,27-078,1998,19.5,1200,1342,89.4,20292,7055,522,554,94.2,601,646,93.0,64,116,55.2,1,1.1,1.3,-0.1,9,91,18,2,117,ar ARG,DF,Manchester Utd,Premier League,27-078,1998,19.5,1342,1285,54,15,5,3,9,16,0,0,0,0,1200,3,7,ar ARG,DF,Manchester Utd,Premier League,27-078,1998,19.5,26,1.34,23,0,0,2,0,1,2,0.1,2,0,0,0,0,0,ar ARG,DF,Manchester Utd,Premier League,27-078,1998,19.5,40,24,25,12,3,21,36,58.3,15,22,8,14,32,72,57,1,ar ARG,DF,Manchester Utd,Premier League,27-078,1998,19.5,1524,156,713,697,125,18,1524,7,6,85.7,1,14.3,1017,5141,3129,23,23,2,1,3,1069,7,ar ARG,DF,Manchester Utd,Premier League,27-078,1998,20,"1,751",88,64.9,19.5,20,88,17,0,0,2,1.35,25,27,-2,-0.1,0.09,29.7,29.7,-0.1,0.0,0.4,ar ARG,DF,Manchester Utd,Premier League,27-078,1998,19.5,7,0,0,22,7,0,9,32,24,0,0,0,81,16,13,55.2,Lisandro,Martinez,Lisandro Martinez,45000000.0,50000000.0
Arda Guler,tr TUR,"MF,FW",Real Madrid,La Liga,20,2005,20,7,715,7.9,1,3,4,1,0,0,1,0,1.9,1.9,2.3,4.3,18,54,58,0.13,0.38,0.5,0.13,0.5,0.24,0.29,0.54,0.24,0.54,tr TUR,"MF,FW",Real Madrid,La Liga,20-040,2005,7.9,1,23,9,39.1,2.9,1.13,0.04,0.11,19.4,2,0,0,1.9,1.9,0.08,-0.9,-0.9,tr TUR,"MF,FW",Real Madrid,La Liga,20-040,2005,7.9,403,467,86.3,6565,1557,217,235,92.3,140,158,88.6,35,50,70.0,3,2.3,2.8,0.7,23,45,18,3,54,tr TUR,"MF,FW",Real Madrid,La Liga,20-040,2005,7.9,467,432,34,10,4,6,25,8,16,10,4,0,403,1,10,tr TUR,"MF,FW",Real Madrid,La Liga,20-040,2005,7.9,42,5.29,29,4,4,3,1,1,7,0.88,3,1,0,2,1,0,tr TUR,"MF,FW",Real Madrid,La Liga,20-040,2005,7.9,19,8,7,5,7,7,15,46.7,8,13,0,13,4,23,7,0,tr TUR,"MF,FW",Real Madrid,La Liga,20-040,2005,7.9,576,13,77,248,256,30,576,27,11,40.7,11,40.7,374,1853,915,18,20,6,13,7,436,58,tr TUR,"MF,FW",Real Madrid,La Liga,20-040,2005,20,715,36,26.5,7.9,7,71,0,13,17,10,2.25,15,10,5,0.63,-0.59,16.7,8.7,8.0,1.01,0.11,tr TUR,"MF,FW",Real Madrid,La Liga,20-040,2005,7.9,1,0,0,11,23,4,25,4,8,1,0,0,32,6,7,46.2,Arda,Guler,Arda Guler,45000000.0,45000000.0
Alessandro Buongiorno,it ITA,DF,Napoli,Serie A,25,1999,21,21,"1,861",20.7,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,25,81,8,0.05,0.0,0.05,0.05,0.05,0.04,0.03,0.07,0.04,0.07,it ITA,DF,Napoli,Serie A,25-304,1999,20.7,1,8,4,50.0,0.39,0.19,0.13,0.25,11.0,0,0,0,0.8,0.8,0.1,0.2,0.2,it ITA,DF,Napoli,Serie A,25-304,1999,20.7,1119,1234,90.7,19588,6208,445,478,93.1,603,630,95.7,60,101,59.4,0,0.6,0.6,-0.6,5,64,3,0,81,it ITA,DF,Napoli,Serie A,25-304,1999,20.7,1234,1179,52,38,0,2,1,3,0,0,0,0,1119,3,8,it ITA,DF,Napoli,Serie A,25-304,1999,20.7,18,0.87,17,0,0,1,0,0,2,0.1,2,0,0,0,0,0,it ITA,DF,Napoli,Serie A,25-304,1999,20.7,37,22,25,11,1,24,31,77.4,7,27,15,12,34,71,71,2,it ITA,DF,Napoli,Serie A,25-304,1999,20.7,1434,119,633,756,54,15,1434,5,1,20.0,3,60.0,874,4399,2672,25,7,1,12,7,1017,8,it ITA,DF,Napoli,Serie A,25-304,1999,21,"1,861",89,68.9,20.7,21,89,20,0,0,2,2.1,31,14,17,0.82,0.18,30.6,17.3,13.3,0.64,0.18,it ITA,DF,Napoli,Serie A,25-304,1999,20.7,2,0,0,16,18,1,1,34,22,0,0,0,84,42,21,66.7,Alessandro,Buongiorno,Alessandro Buongiorno,45000000.0,45000000.0
Marc Guehi,eng ENG,DF,Crystal Palace,Premier League,24,2000,29,29,"2,609",29.0,3,2,5,3,0,0,9,1,1.7,1.7,1.1,2.8,18,119,8,0.1,0.07,0.17,0.1,0.17,0.06,0.04,0.1,0.06,0.1,eng ENG,DF,Crystal Palace,Premier League,24-267,2000,29.0,3,12,6,50.0,0.41,0.21,0.25,0.5,9.8,0,0,0,1.7,1.7,0.14,1.3,1.3,eng ENG,DF,Crystal Palace,Premier League,24-267,2000,29.0,1271,1524,83.4,24592,10122,456,499,91.4,669,754,88.7,137,245,55.9,2,1.1,1.2,0.9,10,115,9,3,119,eng ENG,DF,Crystal Palace,Premier League,24-267,2000,29.0,1524,1429,90,73,5,11,11,4,0,0,0,0,1271,5,7,eng ENG,DF,Crystal Palace,Premier League,24-267,2000,29.0,32,1.1,26,0,0,3,2,1,5,0.17,4,0,0,0,0,1,eng ENG,DF,Crystal Palace,Premier League,24-267,2000,29.0,53,29,31,20,2,30,43,69.8,13,50,21,29,23,76,139,2,eng ENG,DF,Crystal Palace,Premier League,24-267,2000,29.0,1837,275,934,798,115,24,1837,14,11,78.6,2,14.3,958,4886,2575,18,15,1,14,15,1128,8,eng ENG,DF,Crystal Palace,Premier League,24-267,2000,29,"2,609",90,96.6,29.0,29,90,28,0,0,0,1.38,37,34,3,0.1,-0.89,43.5,35.7,7.7,0.27,-0.49,eng ENG,DF,Crystal Palace,Premier League,24-267,2000,29.0,9,1,1,20,24,1,11,23,29,0,0,2,127,63,45,58.3,Marc,Guehi,Marc Guehi,45000000.0,45000000.0
Diogo Jota,pt POR,FW,Liverpool,Premier League,28,1996,19,11,918,10.2,6,3,9,6,0,0,2,0,6.5,6.5,1.8,8.3,33,27,77,0.59,0.29,0.88,0.59,0.88,0.64,0.18,0.81,0.64,0.81,pt POR,FW,Liverpool,Premier League,28-123,1996,10.2,6,40,12,30.0,3.92,1.18,0.15,0.5,12.7,0,0,0,6.5,6.5,0.16,-0.5,-0.5,pt POR,FW,Liverpool,Premier League,28-123,1996,10.2,176,251,70.1,2532,595,98,127,77.2,58,74,78.4,9,17,52.9,3,1.8,1.1,1.2,10,22,3,1,27,pt POR,FW,Liverpool,Premier League,28-123,1996,10.2,251,246,3,0,0,2,8,1,0,0,0,0,176,2,12,pt POR,FW,Liverpool,Premier League,28-123,1996,10.2,31,3.04,19,0,6,4,1,1,8,0.79,5,0,2,0,1,0,pt POR,FW,Liverpool,Premier League,28-123,1996,10.2,10,6,0,6,4,6,18,33.3,12,7,0,7,6,16,5,0,pt POR,FW,Liverpool,Premier League,28-123,1996,10.2,386,4,26,148,219,80,386,28,11,39.3,16,57.1,219,1329,688,33,20,20,31,20,271,77,pt POR,FW,Liverpool,Premier League,28-123,1996,19,918,48,34.0,10.2,11,69,2,8,20,3,2.32,24,7,17,1.67,0.35,23.5,8.2,15.3,1.5,0.24,pt POR,FW,Liverpool,Premier League,28-123,1996,10.2,2,0,0,16,10,0,8,6,6,1,0,0,34,19,24,44.2,,Diogo Jota,Diogo Jota,45000000.0,60000000.0
Rasmus Hojlund,dk DEN,FW,Manchester Utd,Premier League,22,2003,25,17,"1,479",16.4,3,0,3,3,0,0,2,0,3.0,3.0,1.2,4.2,23,14,76,0.18,0.0,0.18,0.18,0.18,0.18,0.07,0.25,0.18,0.25,dk DEN,FW,Manchester Utd,Premier League,22-061,2003,16.4,3,21,9,42.9,1.28,0.55,0.14,0.33,13.8,0,0,0,3.0,3.0,0.14,0.0,0.0,dk DEN,FW,Manchester Utd,Premier League,22-061,2003,16.4,187,243,77.0,2029,348,135,163,82.8,31,43,72.1,3,4,75.0,0,1.2,0.8,-1.2,13,9,4,0,14,dk DEN,FW,Manchester Utd,Premier League,22-061,2003,16.4,243,221,19,0,2,0,5,0,0,0,0,0,187,3,5,dk DEN,FW,Manchester Utd,Premier League,22-061,2003,16.4,28,1.7,18,0,3,4,3,0,1,0.06,0,0,0,0,1,0,dk DEN,FW,Manchester Utd,Premier League,22-061,2003,16.4,3,1,0,2,1,0,4,0.0,4,4,0,4,1,4,3,0,dk DEN,FW,Manchester Utd,Premier League,22-061,2003,16.4,383,4,20,192,177,50,383,25,7,28.0,16,64.0,239,1174,504,23,11,13,55,25,303,76,dk DEN,FW,Manchester Utd,Premier League,22-061,2003,25,"1,479",59,54.8,16.4,17,76,4,8,23,1,1.12,15,25,-10,-0.61,-1.05,18.1,25.0,-6.8,-0.42,-0.6,dk DEN,FW,Manchester Utd,Premier League,22-061,2003,16.4,2,0,0,13,23,9,5,1,1,1,0,0,26,20,71,22.0,Rasmus,Hojlund,Rasmus Hojlund,45000000.0,65000000.0
Brahim Diaz,ma MAR,"FW,MF",Real Madrid,La Liga,25,1999,25,14,"1,161",12.9,4,2,6,4,0,0,0,0,4.5,4.5,2.5,7.1,30,60,87,0.31,0.16,0.47,0.31,0.47,0.35,0.2,0.55,0.35,0.55,ma MAR,"FW,MF",Real Madrid,La Liga,25-246,1999,12.9,4,21,10,47.6,1.63,0.78,0.19,0.4,12.4,0,0,0,4.5,4.5,0.22,-0.5,-0.5,ma MAR,"FW,MF",Real Madrid,La Liga,25-246,1999,12.9,474,548,86.5,6112,1542,321,353,90.9,123,140,87.9,11,17,64.7,2,2.5,1.9,-0.5,18,45,15,0,60,ma MAR,"FW,MF",Real Madrid,La Liga,25-246,1999,12.9,548,528,14,7,6,0,7,6,0,0,0,0,474,6,13,ma MAR,"FW,MF",Real Madrid,La Liga,25-246,1999,12.9,45,3.49,34,0,5,4,1,1,11,0.85,6,0,1,3,0,1,ma MAR,"FW,MF",Real Madrid,La Liga,25-246,1999,12.9,21,16,7,11,3,6,15,40.0,9,13,0,13,4,25,1,1,ma MAR,"FW,MF",Real Madrid,La Liga,25-246,1999,12.9,683,3,59,346,287,48,683,37,19,51.4,16,43.2,447,2027,961,30,14,10,34,21,551,87,ma MAR,"FW,MF",Real Madrid,La Liga,25-246,1999,25,"1,161",46,43.0,12.9,14,67,4,11,20,0,2.0,39,16,23,1.78,1.26,30.9,14.0,16.8,1.31,0.67,ma MAR,"FW,MF",Real Madrid,La Liga,25-246,1999,12.9,0,0,0,11,26,0,7,4,16,0,0,0,41,2,13,13.3,Brahim,Diaz,Brahim Diaz,45000000.0,45000000.0
Sven Botman,nl NED,DF,Newcastle Utd,Premier League,25,2000,3,3,224,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,nl NED,DF,Newcastle Utd,Premier League,25-084,2000,2.5,0,1,0,0.0,0.4,0.0,0.0,0.0,11.7,0,0,0,0.0,0.0,0.03,0.0,0.0,nl NED,DF,Newcastle Utd,Premier League,25-084,2000,2.5,113,128,88.3,1909,767,54,64,84.4,50,51,98.0,6,9,66.7,0,0.0,0.0,0.0,0,6,0,0,3,nl NED,DF,Newcastle Utd,Premier League,25-084,2000,2.5,128,124,4,4,0,0,0,0,0,0,0,0,113,0,0,nl NED,DF,Newcastle Utd,Premier League,25-084,2000,2.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,nl NED,DF,Newcastle Utd,Premier League,25-084,2000,2.5,5,3,2,3,0,2,3,66.7,1,2,1,1,4,9,12,0,nl NED,DF,Newcastle Utd,Premier League,25-084,2000,2.5,156,24,63,89,5,5,156,3,1,33.3,1,33.3,82,350,171,0,0,0,1,0,101,0,nl NED,DF,Newcastle Utd,Premier League,25-084,2000,3,224,75,8.6,2.5,3,75,1,0,0,2,2.0,6,3,3,1.21,0.94,4.6,3.3,1.3,0.53,0.18,nl NED,DF,Newcastle Utd,Premier League,25-084,2000,2.5,1,0,0,4,2,0,0,4,3,0,0,0,8,9,5,64.3,Sven,Botman,Sven Botman,45000000.0,45000000.0
